"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",77.1906953262723,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",77.7764412692242,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",76.455683551728,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",78.2136335374909,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",2.2655086517334,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",2.49541330337524,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",3.19491100311279,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",2.85750246047974,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",2.81942486763,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",2.99231791496277,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",3.26989436149597,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",3.4816484451294,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",3.37343549728394,,
"AUS","Australia","AVERAGE","Average","2_5","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",3.07328963279724,,
"AUS","Australia","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",28.3,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",43,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",52,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",62,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",72.62,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",77,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","4_1","Time off","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",14.3562135812154,,
"AUS","Australia","AVERAGE","Average","4_3","Gender gap in working hours","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",6.43554019927978,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",80.5,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",80.8,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",81,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",81.3,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",81.4,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",81.5,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",81.7,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",81.9,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",82,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",82.1,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",82.3,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",82.4,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",82.4,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",82.5,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",82.7,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",82.9,,
"AUS","Australia","AVERAGE","Average","5_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",83.2,,
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",84,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",84.9,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",85.4,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",85.2,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",85.2,"D","Difference in methodology"
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",14.5704336166382,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",13.9981479644775,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",14.1695203781128,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",14.8420877456665,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",14.724663734436,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",14.8816223144531,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",14.9895315170288,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",15.2079086303711,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",15.9446716308594,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",17.3366203308106,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",18.1301345825195,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",20.9625911712646,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",22.5614891052246,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",22.2200012207031,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",22.1959171295166,,
"AUS","Australia","AVERAGE","Average","5_3","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",21.4094104766846,,
"AUS","Australia","AVERAGE","Average","6_1","Student skills (reading)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",512.893291590888,,
"AUS","Australia","AVERAGE","Average","6_1","Student skills (reading)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",514.900655282061,,
"AUS","Australia","AVERAGE","Average","6_1","Student skills (reading)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",511.803997635699,,
"AUS","Australia","AVERAGE","Average","6_1","Student skills (reading)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",502.900559808559,,
"AUS","Australia","AVERAGE","Average","6_1","Student skills (reading)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",502.631724296467,,
"AUS","Australia","AVERAGE","Average","6_2","Student skills (maths)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",519.907748551867,,
"AUS","Australia","AVERAGE","Average","6_2","Student skills (maths)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",514.340462493315,,
"AUS","Australia","AVERAGE","Average","6_2","Student skills (maths)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",504.150766269474,,
"AUS","Australia","AVERAGE","Average","6_2","Student skills (maths)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",493.896231275835,,
"AUS","Australia","AVERAGE","Average","6_2","Student skills (maths)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",491.360025247324,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",96.6702496681354,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",95.7004687095747,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",94.1889428263911,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",95.3537089581459,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",96.6617795755098,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",93.8596928084393,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",92.7235447914386,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",91.9743772998874,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",95.1059267405367,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",93.6083345700604,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",94.9741857443996,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",93.2825434478657,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",94.0282732707376,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",93.4468475153565,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",91.6468045167303,,
"AUS","Australia","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2022","2022",93.814759964405,,
"AUS","Australia","AVERAGE","Average","7_2","Time spent in social interactions","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",4.66666666666667,,
"AUS","Australia","AVERAGE","Average","8_1","Having a say in government","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",32.3065195832186,,
"AUS","Australia","AVERAGE","Average","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",94.32,,
"AUS","Australia","AVERAGE","Average","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",94.76,,
"AUS","Australia","AVERAGE","Average","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",93.22,,
"AUS","Australia","AVERAGE","Average","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",93.23,,
"AUS","Australia","AVERAGE","Average","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",91.01,,
"AUS","Australia","AVERAGE","Average","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",91.89,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",0.8,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",1.2,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",1,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",1.2,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",1.2,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",1.1,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",1.1,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",1.2,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",1.1,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",1.2,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",1.2,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",1.1,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",0.9,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",1,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",1,,
"AUS","Australia","AVERAGE","Average","10_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",0.9,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",64.7547727675419,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",60.855940229399,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",63.2115258462693,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",63.5645116933413,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",63.8944604036633,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",65.3909047822699,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",66.667221192361,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",62.344327747568,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",62.6428746323793,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",65.9532255158368,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",61.8496394653416,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",64.9190124540153,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",64.310970685097,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",66.9544158719505,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",67.2938129902728,,
"AUS","Australia","AVERAGE","Average","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2022","2022",69.4461159426216,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",7.9417151355445,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",8.0636991592937,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",7.8333708050759,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",7.6965099520243,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",6.7626078517124,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",6.8690016385565,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",6.1275205101728,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",5.7161979772269,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",5.7140431518029,,
"AUS","Australia","AVERAGE","Average","10_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",5.1236310554996,,
